department_management.head	department_management.management	department_management.department
csu_1.faculty	csu_1.faculty_HAS_csu_1.campuses	csu_1.Campuses
csu_1.discipline_enrollments	csu_1.discipline_enrollments_HAS_csu_1.campuses	csu_1.Campuses
csu_1.enrollments	csu_1.enrollments_HAS_csu_1.campuses	csu_1.Campuses
candidate_poll.candidate	candidate_poll.candidate_HAS_candidate_poll.people	candidate_poll.people
movie_1.Reviewer	movie_1.Rating	movie_1.Movie
county_public_safety.city	county_public_safety.city_HAS_county_public_safety.county_public_safety	county_public_safety.county_public_safety
inn_1.Reservations	inn_1.reservations_HAS_inn_1.rooms	inn_1.Rooms
local_govt_mdm.Electoral_Register	local_govt_mdm.electoral_register_HAS_local_govt_mdm.cmi_cross_references	local_govt_mdm.CMI_Cross_References
local_govt_mdm.Benefits_Overpayments	local_govt_mdm.benefits_overpayments_HAS_local_govt_mdm.cmi_cross_references	local_govt_mdm.CMI_Cross_References
local_govt_mdm.Parking_Fines	local_govt_mdm.parking_fines_HAS_local_govt_mdm.cmi_cross_references	local_govt_mdm.CMI_Cross_References
local_govt_mdm.Business_Rates	local_govt_mdm.business_rates_HAS_local_govt_mdm.cmi_cross_references	local_govt_mdm.CMI_Cross_References
local_govt_mdm.CMI_Cross_References	local_govt_mdm.cmi_cross_references_HAS_local_govt_mdm.customer_master_index	local_govt_mdm.Customer_Master_Index
local_govt_mdm.Council_Tax	local_govt_mdm.council_tax_HAS_local_govt_mdm.cmi_cross_references	local_govt_mdm.CMI_Cross_References
local_govt_mdm.Rent_Arrears	local_govt_mdm.rent_arrears_HAS_local_govt_mdm.cmi_cross_references	local_govt_mdm.CMI_Cross_References
party_host.party	party_host.party_host	party_host.host
storm_record.storm	storm_record.affected_region	storm_record.region
election.election	election.election_HAS_election.party	election.party
election.election	election.election_HAS_election.county	election.county
news_report.event	news_report.news_report	news_report.journalist
restaurant_1.Restaurant_Type	restaurant_1.Type_Of_Restaurant	restaurant_1.Restaurant
restaurant_1.Restaurant	restaurant_1.Visits_Restaurant	restaurant_1.Student
customer_deliveries.Delivery_Route_Locations	customer_deliveries.delivery_route_locations_HAS_customer_deliveries.addresses	customer_deliveries.Addresses
customer_deliveries.Order_Deliveries	customer_deliveries.order_deliveries_HAS_customer_deliveries.actual_orders	customer_deliveries.Actual_Orders
customer_deliveries.Actual_Orders	customer_deliveries.Actual_Order_Products	customer_deliveries.Products
customer_deliveries.Actual_Orders	customer_deliveries.actual_orders_HAS_customer_deliveries.regular_orders	customer_deliveries.Regular_Orders
customer_deliveries.Employees	customer_deliveries.employees_HAS_customer_deliveries.addresses	customer_deliveries.Addresses
customer_deliveries.Regular_Orders	customer_deliveries.Regular_Order_Products	customer_deliveries.Products
customer_deliveries.Addresses	customer_deliveries.Customer_Addresses	customer_deliveries.Customers
customer_deliveries.Order_Deliveries	customer_deliveries.order_deliveries_HAS_customer_deliveries.trucks	customer_deliveries.Trucks
customer_deliveries.Regular_Orders	customer_deliveries.regular_orders_HAS_customer_deliveries.customers	customer_deliveries.Customers
customer_deliveries.Delivery_Route_Locations	customer_deliveries.delivery_route_locations_HAS_customer_deliveries.delivery_routes	customer_deliveries.Delivery_Routes
customer_deliveries.Order_Deliveries	customer_deliveries.order_deliveries_HAS_customer_deliveries.delivery_route_locations	customer_deliveries.Delivery_Route_Locations
customer_deliveries.Order_Deliveries	customer_deliveries.order_deliveries_HAS_customer_deliveries.employees	customer_deliveries.Employees
icfp_1.Authorship	icfp_1.authorship_HAS_icfp_1.authors	icfp_1.Authors
icfp_1.Authorship	icfp_1.authorship_HAS_icfp_1.inst	icfp_1.Inst
icfp_1.Authorship	icfp_1.authorship_HAS_icfp_1.papers	icfp_1.Papers
loan_1.loan	loan_1.loan_HAS_loan_1.customer	loan_1.customer
loan_1.loan	loan_1.loan_HAS_loan_1.bank	loan_1.bank
loan_1.customer	loan_1.customer_HAS_loan_1.bank	loan_1.bank
behavior_monitoring.Students	behavior_monitoring.Student_Addresses	behavior_monitoring.Addresses
behavior_monitoring.Students_in_Detention	behavior_monitoring.students_in_detention_HAS_behavior_monitoring.behavior_incident	behavior_monitoring.Behavior_Incident
behavior_monitoring.Students	behavior_monitoring.students_HAS_behavior_monitoring.addresses	behavior_monitoring.Addresses
behavior_monitoring.Detention	behavior_monitoring.detention_HAS_behavior_monitoring.teachers	behavior_monitoring.Teachers
behavior_monitoring.Behavior_Incident	behavior_monitoring.behavior_incident_HAS_behavior_monitoring.ref_incident_type	behavior_monitoring.Ref_Incident_Type
behavior_monitoring.Students_in_Detention	behavior_monitoring.students_in_detention_HAS_behavior_monitoring.detention	behavior_monitoring.Detention
behavior_monitoring.Students_in_Detention	behavior_monitoring.students_in_detention_HAS_behavior_monitoring.students	behavior_monitoring.Students
behavior_monitoring.Detention	behavior_monitoring.detention_HAS_behavior_monitoring.ref_detention_type	behavior_monitoring.Ref_Detention_Type
behavior_monitoring.Teachers	behavior_monitoring.Assessment_Notes	behavior_monitoring.Students
behavior_monitoring.Behavior_Incident	behavior_monitoring.behavior_incident_HAS_behavior_monitoring.students	behavior_monitoring.Students
behavior_monitoring.Teachers	behavior_monitoring.teachers_HAS_behavior_monitoring.addresses	behavior_monitoring.Addresses
assets_maintenance.Engineer_Visits	assets_maintenance.engineer_visits_HAS_assets_maintenance.fault_log	assets_maintenance.Fault_Log
assets_maintenance.Maintenance_Engineers	assets_maintenance.maintenance_engineers_HAS_assets_maintenance.third_party_companies	assets_maintenance.Third_Party_Companies
assets_maintenance.Skills	assets_maintenance.Engineer_Skills	assets_maintenance.Maintenance_Engineers
assets_maintenance.Skills	assets_maintenance.Skills_Required_To_Fix	assets_maintenance.Part_Faults
assets_maintenance.Assets	assets_maintenance.assets_HAS_assets_maintenance.third_party_companies	assets_maintenance.Third_Party_Companies
assets_maintenance.Fault_Log	assets_maintenance.fault_log_HAS_assets_maintenance.staff	assets_maintenance.Staff
assets_maintenance.Assets	assets_maintenance.Asset_Parts	assets_maintenance.Parts
assets_maintenance.Fault_Log	assets_maintenance.fault_log_HAS_assets_maintenance.assets	assets_maintenance.Assets
assets_maintenance.Assets	assets_maintenance.assets_HAS_assets_maintenance.maintenance_contracts	assets_maintenance.Maintenance_Contracts
assets_maintenance.Engineer_Visits	assets_maintenance.engineer_visits_HAS_assets_maintenance.staff	assets_maintenance.Staff
assets_maintenance.Part_Faults	assets_maintenance.part_faults_HAS_assets_maintenance.parts	assets_maintenance.Parts
assets_maintenance.Engineer_Visits	assets_maintenance.engineer_visits_HAS_assets_maintenance.maintenance_engineers	assets_maintenance.Maintenance_Engineers
assets_maintenance.Fault_Log	assets_maintenance.Fault_Log_Parts	assets_maintenance.Part_Faults
assets_maintenance.Maintenance_Contracts	assets_maintenance.maintenance_contracts_HAS_assets_maintenance.third_party_companies	assets_maintenance.Third_Party_Companies
station_weather.weekly_weather	station_weather.weekly_weather_HAS_station_weather.station	station_weather.station
station_weather.station	station_weather.route	station_weather.train
college_1.STUDENT	college_1.ENROLL	college_1.CLASS
college_1.CLASS	college_1.class_HAS_college_1.employee	college_1.EMPLOYEE
college_1.CLASS	college_1.class_HAS_college_1.course	college_1.COURSE
college_1.DEPARTMENT	college_1.PROFESSOR	college_1.EMPLOYEE
college_1.DEPARTMENT	college_1.department_HAS_college_1.employee	college_1.EMPLOYEE
college_1.STUDENT	college_1.student_HAS_college_1.department	college_1.DEPARTMENT
college_1.COURSE	college_1.course_HAS_college_1.department	college_1.DEPARTMENT
sports_competition.player	sports_competition.player_HAS_sports_competition.club	sports_competition.club
sports_competition.club_rank	sports_competition.club_rank_HAS_sports_competition.club	sports_competition.club
sports_competition.competition_result	sports_competition.competition_result_HAS_sports_competition.competition	sports_competition.competition
sports_competition.competition_result	sports_competition.competition_result_HAS_sports_competition.club	sports_competition.club
manufacturer.furniture	manufacturer.furniture_manufacte	manufacturer.manufacturer
hr_1.employees	hr_1.employees_HAS_hr_1.departments	hr_1.departments
hr_1.job_history	hr_1.job_history_HAS_hr_1.employees	hr_1.employees
hr_1.employees	hr_1.employees_HAS_hr_1.jobs	hr_1.jobs
hr_1.job_history	hr_1.job_history_HAS_hr_1.departments	hr_1.departments
hr_1.job_history	hr_1.job_history_HAS_hr_1.jobs	hr_1.jobs
hr_1.countries	hr_1.countries_HAS_hr_1.regions	hr_1.regions
hr_1.locations	hr_1.locations_HAS_hr_1.countries	hr_1.countries
music_1.song	music_1.song_HAS_music_1.genre	music_1.genre
music_1.artist	music_1.artist_HAS_music_1.genre	music_1.genre
music_1.song	music_1.song_HAS_music_1.files	music_1.files
music_1.files	music_1.files_HAS_music_1.artist	music_1.artist
music_1.song	music_1.song_HAS_music_1.artist	music_1.artist
mountain_photos.photos	mountain_photos.photos_HAS_mountain_photos.camera_lens	mountain_photos.camera_lens
mountain_photos.photos	mountain_photos.photos_HAS_mountain_photos.mountain	mountain_photos.mountain
program_share.program	program_share.broadcast	program_share.channel
program_share.program	program_share.broadcast_share	program_share.channel
e_learning.Courses	e_learning.courses_HAS_e_learning.course_authors_and_tutors	e_learning.Course_Authors_and_Tutors
e_learning.Student_Tests_Taken	e_learning.student_tests_taken_HAS_e_learning.student_course_enrolment	e_learning.Student_Course_Enrolment
e_learning.Student_Course_Enrolment	e_learning.student_course_enrolment_HAS_e_learning.courses	e_learning.Courses
e_learning.Student_Course_Enrolment	e_learning.student_course_enrolment_HAS_e_learning.students	e_learning.Students
e_learning.Courses	e_learning.courses_HAS_e_learning.subjects	e_learning.Subjects
insurance_policies.Customer_Policies	insurance_policies.customer_policies_HAS_insurance_policies.customers	insurance_policies.Customers
insurance_policies.Settlements	insurance_policies.settlements_HAS_insurance_policies.claims	insurance_policies.Claims
insurance_policies.Payments	insurance_policies.payments_HAS_insurance_policies.settlements	insurance_policies.Settlements
insurance_policies.Claims	insurance_policies.claims_HAS_insurance_policies.customer_policies	insurance_policies.Customer_Policies
hospital_1.Prescribes	hospital_1.prescribes_HAS_hospital_1.patient	hospital_1.Patient
hospital_1.Stay	hospital_1.stay_HAS_hospital_1.patient	hospital_1.Patient
hospital_1.Prescribes	hospital_1.prescribes_HAS_hospital_1.physician	hospital_1.Physician
hospital_1.Department	hospital_1.Affiliated_With	hospital_1.Physician
hospital_1.Undergoes	hospital_1.undergoes_HAS_hospital_1.physician	hospital_1.Physician
hospital_1.Appointment	hospital_1.appointment_HAS_hospital_1.patient	hospital_1.Patient
hospital_1.Undergoes	hospital_1.undergoes_HAS_hospital_1.patient	hospital_1.Patient
hospital_1.Procedures	hospital_1.Trained_In	hospital_1.Physician
hospital_1.Block	hospital_1.On_Call	hospital_1.Nurse
hospital_1.Appointment	hospital_1.appointment_HAS_hospital_1.physician	hospital_1.Physician
hospital_1.Patient	hospital_1.patient_HAS_hospital_1.physician	hospital_1.Physician
hospital_1.Undergoes	hospital_1.undergoes_HAS_hospital_1.stay	hospital_1.Stay
hospital_1.Room	hospital_1.room_HAS_hospital_1.block	hospital_1.Block
hospital_1.Prescribes	hospital_1.prescribes_HAS_hospital_1.medication	hospital_1.Medication
hospital_1.Department	hospital_1.department_HAS_hospital_1.physician	hospital_1.Physician
hospital_1.Undergoes	hospital_1.undergoes_HAS_hospital_1.nurse	hospital_1.Nurse
hospital_1.Stay	hospital_1.stay_HAS_hospital_1.room	hospital_1.Room
hospital_1.Undergoes	hospital_1.undergoes_HAS_hospital_1.procedures	hospital_1.Procedures
ship_mission.mission	ship_mission.mission_HAS_ship_mission.ship	ship_mission.ship
film_rank.film_market_estimation	film_rank.film_market_estimation_HAS_film_rank.market	film_rank.market
film_rank.film_market_estimation	film_rank.film_market_estimation_HAS_film_rank.film	film_rank.film
cre_Doc_Tracking_DB.All_Documents	cre_Doc_Tracking_DB.all_documents_HAS_cre_Doc_Tracking_DB.ref_calendar	cre_Doc_Tracking_DB.Ref_Calendar
cre_Doc_Tracking_DB.Documents_to_be_Destroyed	cre_Doc_Tracking_DB.documents_to_be_destroyed_HAS_cre_Doc_Tracking_DB.ref_calendar	cre_Doc_Tracking_DB.Ref_Calendar
cre_Doc_Tracking_DB.Documents_to_be_Destroyed	cre_Doc_Tracking_DB.documents_to_be_destroyed_HAS_cre_Doc_Tracking_DB.all_documents	cre_Doc_Tracking_DB.All_Documents
cre_Doc_Tracking_DB.All_Documents	cre_Doc_Tracking_DB.all_documents_HAS_cre_Doc_Tracking_DB.ref_document_types	cre_Doc_Tracking_DB.Ref_Document_Types
cre_Doc_Tracking_DB.Document_Locations	cre_Doc_Tracking_DB.document_locations_HAS_cre_Doc_Tracking_DB.ref_calendar	cre_Doc_Tracking_DB.Ref_Calendar
cre_Doc_Tracking_DB.Employees	cre_Doc_Tracking_DB.employees_HAS_cre_Doc_Tracking_DB.roles	cre_Doc_Tracking_DB.Roles
cre_Doc_Tracking_DB.Documents_to_be_Destroyed	cre_Doc_Tracking_DB.documents_to_be_destroyed_HAS_cre_Doc_Tracking_DB.employees	cre_Doc_Tracking_DB.Employees
cre_Doc_Tracking_DB.Document_Locations	cre_Doc_Tracking_DB.document_locations_HAS_cre_Doc_Tracking_DB.all_documents	cre_Doc_Tracking_DB.All_Documents
cre_Doc_Tracking_DB.Document_Locations	cre_Doc_Tracking_DB.document_locations_HAS_cre_Doc_Tracking_DB.ref_locations	cre_Doc_Tracking_DB.Ref_Locations
club_1.Club	club_1.Member_of_club	club_1.Student
tracking_grants_for_research.Tasks	tracking_grants_for_research.tasks_HAS_tracking_grants_for_research.projects	tracking_grants_for_research.Projects
tracking_grants_for_research.Documents	tracking_grants_for_research.documents_HAS_tracking_grants_for_research.grants	tracking_grants_for_research.Grants
tracking_grants_for_research.Projects	tracking_grants_for_research.projects_HAS_tracking_grants_for_research.organisations	tracking_grants_for_research.Organisations
tracking_grants_for_research.Project_Staff	tracking_grants_for_research.project_staff_HAS_tracking_grants_for_research.staff_roles	tracking_grants_for_research.Staff_Roles
tracking_grants_for_research.Grants	tracking_grants_for_research.grants_HAS_tracking_grants_for_research.organisations	tracking_grants_for_research.Organisations
tracking_grants_for_research.Project_Staff	tracking_grants_for_research.project_staff_HAS_tracking_grants_for_research.projects	tracking_grants_for_research.Projects
tracking_grants_for_research.Research_Outcomes	tracking_grants_for_research.Project_Outcomes	tracking_grants_for_research.Projects
tracking_grants_for_research.Documents	tracking_grants_for_research.documents_HAS_tracking_grants_for_research.document_types	tracking_grants_for_research.Document_Types
tracking_grants_for_research.Organisations	tracking_grants_for_research.organisations_HAS_tracking_grants_for_research.organisation_types	tracking_grants_for_research.Organisation_Types
tracking_grants_for_research.Research_Staff	tracking_grants_for_research.research_staff_HAS_tracking_grants_for_research.organisations	tracking_grants_for_research.Organisations
network_2.Person	network_2.PersonFriend	network_2.Person
decoration_competition.member	decoration_competition.member_HAS_decoration_competition.college	decoration_competition.college
decoration_competition.round	decoration_competition.round_HAS_decoration_competition.member	decoration_competition.member
document_management.Users	document_management.users_HAS_document_management.roles	document_management.Roles
document_management.Images	document_management.Document_Sections_Images	document_management.Document_Sections
document_management.Document_Sections	document_management.document_sections_HAS_document_management.documents	document_management.Documents
document_management.Functional_Areas	document_management.Document_Functional_Areas	document_management.Documents
document_management.Documents	document_management.documents_HAS_document_management.document_structures	document_management.Document_Structures
company_office.Companies	company_office.Office_locations	company_office.buildings
solvency_ii.Events	solvency_ii.events_HAS_solvency_ii.locations	solvency_ii.Locations
solvency_ii.Events	solvency_ii.Parties_in_Events	solvency_ii.Parties
solvency_ii.Assets_in_Events	solvency_ii.assets_in_events_HAS_solvency_ii.events	solvency_ii.Events
solvency_ii.Events	solvency_ii.events_HAS_solvency_ii.finances	solvency_ii.Finances
solvency_ii.Agreements	solvency_ii.agreements_HAS_solvency_ii.events	solvency_ii.Events
solvency_ii.Events	solvency_ii.events_HAS_solvency_ii.addresses	solvency_ii.Addresses
solvency_ii.Products_in_Events	solvency_ii.products_in_events_HAS_solvency_ii.products	solvency_ii.Products
solvency_ii.Products_in_Events	solvency_ii.products_in_events_HAS_solvency_ii.events	solvency_ii.Events
entertainment_awards.festival_detail	entertainment_awards.nomination	entertainment_awards.artwork
customers_campaigns_ecommerce.Mailshot_Campaigns	customers_campaigns_ecommerce.Mailshot_Customers	customers_campaigns_ecommerce.Customers
customers_campaigns_ecommerce.Customer_Orders	customers_campaigns_ecommerce.Order_Items	customers_campaigns_ecommerce.Products
customers_campaigns_ecommerce.Customers	customers_campaigns_ecommerce.Customer_Addresses	customers_campaigns_ecommerce.Premises
customers_campaigns_ecommerce.Customer_Orders	customers_campaigns_ecommerce.customer_orders_HAS_customers_campaigns_ecommerce.customers	customers_campaigns_ecommerce.Customers
college_3.Enrolled_in	college_3.enrolled_in_HAS_college_3.course	college_3.Course
college_3.Enrolled_in	college_3.enrolled_in_HAS_college_3.gradeconversion	college_3.Gradeconversion
college_3.Enrolled_in	college_3.enrolled_in_HAS_college_3.student	college_3.Student
college_3.Department	college_3.Member_of	college_3.Faculty
college_3.Course	college_3.course_HAS_college_3.department	college_3.Department
college_3.Department	college_3.Minor_in	college_3.Student
college_3.Course	college_3.course_HAS_college_3.faculty	college_3.Faculty
department_store.Order_Items	department_store.order_items_HAS_department_store.products	department_store.Products
department_store.Staff	department_store.Staff_Department_Assignments	department_store.Departments
department_store.Suppliers	department_store.Supplier_Addresses	department_store.Addresses
department_store.Departments	department_store.departments_HAS_department_store.department_stores	department_store.Department_Stores
department_store.Department_Stores	department_store.department_stores_HAS_department_store.department_store_chain	department_store.Department_Store_Chain
department_store.Customers	department_store.Customer_Addresses	department_store.Addresses
department_store.Products	department_store.Product_Suppliers	department_store.Suppliers
department_store.Order_Items	department_store.order_items_HAS_department_store.customer_orders	department_store.Customer_Orders
